Value,Non_RT_No_Load,Non_RT_No,RT_No_Load,RT_Load
Less than 1 milisecond 5 nanoseconds,0.002,0.002,94.711,88.851
Exactly 1 milisecond 5 nanoseconds,0,0,1.97,5.624
Greater than 1 milisecond 5 nanoseconds,99.998,99.998,3.319,5.525
