Value,Non_RT_No_Load,Non_RT_No,RT_No_Load,RT_Load
Less than 1 milisecond,0.002,0.002,88.851,94.711
Exactly 1 milisecond,0,0,5.624,1.97
Greater than 1 milisecond,99.998,99.998,5.525,3.319
